Initialization done, evaluating initial agents...
Initialization done, took 0.00 seconds
Agent: {'x': 89.70528525994858, 'y': 110.24806801682637, 'level': np.str_('b')}, Fitness: 20201.67470501152
Agent: {'x': 102.78440921199541, 'y': 94.19105976707942, 'level': np.str_('b')}, Fitness: 19436.590517104458
Agent: {'x': 108.8131804220753, 'y': 117.09573063652948, 'level': np.str_('c')}, Fitness: 25541.718366869783
Agent: {'x': 81.56435276017027, 'y': 105.02421104255075, 'level': np.str_('c')}, Fitness: 17672.828546295732
Agent: {'x': 92.95940595067208, 'y': 110.19220442913465, 'level': np.str_('b')}, Fitness: 20783.77307165405
Agent: {'x': 95.79690743356265, 'y': 91.40386207732377, 'level': np.str_('c')}, Fitness: 17521.713476484998
Agent: {'x': 107.4505626640537, 'y': 119.76110783126302, 'level': np.str_('c')}, Fitness: 25878.346365793142
Agent: {'x': 106.31922525748807, 'y': 114.30496539388497, 'level': np.str_('b')}, Fitness: 24369.40277304973
Agent: {'x': 90.10387820721604, 'y': 90.34948914228069, 'level': np.str_('b')}, Fitness: 16281.739056251918
Agent: {'x': 104.8602125090616, 'y': 108.60458014972265, 'level': np.str_('b')}, Fitness: 22790.618996943092
Agent: {'x': 111.08187499934992, 'y': 111.19390655318891, 'level': np.str_('c')}, Fitness: 24693.267807930508
Agent: {'x': 100.8619698898173, 'y': 113.01185686675161, 'level': np.str_('b')}, Fitness: 22944.816762525566
Agent: {'x': 107.4541323516319, 'y': 89.51176569811427, 'level': np.str_('b')}, Fitness: 19558.746757836132
Agent: {'x': 91.91619980357207, 'y': 94.44314453797354, 'level': np.str_('c')}, Fitness: 17358.095336550745
Agent: {'x': 104.37946611280083, 'y': 119.38978460400494, 'level': np.str_('b')}, Fitness: 25148.993613784034
Agent: {'x': 109.91417868898026, 'y': 101.8543946505864, 'level': np.str_('b')}, Fitness: 22455.444386510484
Agent: {'x': 102.29291053357271, 'y': 107.10136719929598, 'level': np.str_('c')}, Fitness: 21924.542401387942
Agent: {'x': 92.92536380833467, 'y': 93.65906952183566, 'level': np.str_('b')}, Fitness: 17407.1445426074
Agent: {'x': 99.7589552992877, 'y': 91.1134258214705, 'level': np.str_('c')}, Fitness: 18243.50552732989
Agent: {'x': 127.78282982770259, 'y': 101.25199423512139, 'level': np.str_('c')}, Fitness: 26570.41793536465
Agent: {'x': 97.39500047303025, 'y': 89.18032122287846, 'level': np.str_('c')}, Fitness: 17428.915810557348
Agent: {'x': 106.78131007076574, 'y': 79.24187960533433, 'level': np.str_('b')}, Fitness: 17681.52366381532
Agent: {'x': 112.33471044453157, 'y': 101.4898639468099, 'level': np.str_('c')}, Fitness: 22909.279654598733
Agent: {'x': 90.1793816804917, 'y': 112.73238133246508, 'level': np.str_('c')}, Fitness: 20830.910681164125
Agent: {'x': 104.84441827514972, 'y': 91.50287841690313, 'level': np.str_('c')}, Fitness: 19355.128802033105
Agent: {'x': 109.55088162785357, 'y': 76.63386832506079, 'level': np.str_('b')}, Fitness: 17874.14543990274
Agent: {'x': 102.25750266245821, 'y': 102.87035164694825, 'level': np.str_('c')}, Fitness: 21028.906098729436
Agent: {'x': 94.3771326640624, 'y': 109.09735318767787, 'level': np.str_('c')}, Fitness: 20799.275642446963
Agent: {'x': 100.24454746908513, 'y': 100.21925583149762, 'level': np.str_('c')}, Fitness: 20082.868536700833
Agent: {'x': 107.20046321405658, 'y': 115.4248731124542, 'level': np.str_('c')}, Fitness: 24804.84064633445
Agent: {'x': 101.28007821116101, 'y': 112.4161651815854, 'level': np.str_('b')}, Fitness: 22895.048436592384
Agent: {'x': 93.48134768357131, 'y': 115.96163655014495, 'level': np.str_('b')}, Fitness: 22185.863516124657
Agent: {'x': 101.65698137103765, 'y': 80.71830981653275, 'level': np.str_('b')}, Fitness: 16849.587401109264
Agent: {'x': 108.04873853647769, 'y': 93.68565538285033, 'level': np.str_('c')}, Fitness: 20441.53192383831
Agent: {'x': 92.0408530677661, 'y': 100.72745529151435, 'level': np.str_('b')}, Fitness: 18617.53888294613
Agent: {'x': 77.65526806634162, 'y': 89.9778134923589, 'level': np.str_('b')}, Fitness: 14126.3475793211
Agent: {'x': 92.78852420243389, 'y': 92.23704165505778, 'level': np.str_('b')}, Fitness: 17117.382076942522
Agent: {'x': 96.3662504943863, 'y': 98.0878195668141, 'level': np.str_('b')}, Fitness: 18907.67458171869
Agent: {'x': 94.88871007447086, 'y': 98.7715659438696, 'level': np.str_('b')}, Fitness: 18759.689538601167
Agent: {'x': 105.51143712864877, 'y': 112.0371385184841, 'level': np.str_('b')}, Fitness: 23684.983772362793
Agent: {'x': 92.93128526519183, 'y': 95.52717592457186, 'level': np.str_('b')}, Fitness: 17761.665121164562
Agent: {'x': 108.48931864209197, 'y': 82.42703870216734, 'level': np.str_('c')}, Fitness: 18554.148968633956
Agent: {'x': 99.81372284443042, 'y': 104.83528787408306, 'level': np.str_('b')}, Fitness: 20953.21685170664
Agent: {'x': 109.34303274041581, 'y': 95.5000187095236, 'level': np.str_('b')}, Fitness: 21076.152382391003
Agent: {'x': 119.28563634039156, 'y': 93.92038642020945, 'level': np.str_('c')}, Fitness: 23040.102022453608
Agent: {'x': 95.76012256181458, 'y': 100.59507038065624, 'level': np.str_('c')}, Fitness: 19279.369257942933
Agent: {'x': 95.24475142186752, 'y': 98.34222976868563, 'level': np.str_('b')}, Fitness: 18742.756829290294
Agent: {'x': 98.6016683584909, 'y': 91.59915784860206, 'level': np.str_('b')}, Fitness: 18112.694721650943
Agent: {'x': 102.30400100348805, 'y': 101.68158588317884, 'level': np.str_('b')}, Fitness: 20805.25352903996
Agent: {'x': 100.61108798787981, 'y': 93.20590222723341, 'level': np.str_('b')}, Fitness: 18809.931236097487
Agent: {'x': 98.01709743337035, 'y': 124.57587626290851, 'level': np.str_('b')}, Fitness: 25126.50033593431
